TeamID,TeamName,MarketValue
281,Manchester City,€1.26bn
11,Arsenal FC,€1.10bn
631,Chelsea FC,€999.00m
31,Liverpool FC,€877.30m
985,Manchester United,€877.30m
148,Tottenham Hotspur,€747.60m
762,Newcastle United,€650.50m
405,Aston Villa,€630.70m
379,West Ham United,€470.85m
1237,Brighton & Hove Albion,€468.30m
703,Nottingham Forest,€395.58m
1148,Brentford FC,€379.10m
873,Crystal Palace,€369.45m
29,Everton FC,€350.70m
989,AFC Bournemouth,€343.50m
543,Wolverhampton Wanderers,€320.48m
931,Fulham FC,€304.00m
1132,Burnley FC,€256.75m
350,Sheffield United,€154.95m
1031,Luton Town,€87.20m
